window_id,Start,Stop
box254,2020-05-08 12:51:07.454,2020-05-08 12:51:09.180
box255,2020-05-08 12:54:21.644,2020-05-08 12:54:23.370
box256,2020-05-08 13:02:32.960,2020-05-08 13:02:34.731
box257,2020-05-08 13:03:10.863,2020-05-08 13:03:12.635
box258,2020-05-08 13:06:33.199,2020-05-08 13:06:34.973
box259,2020-05-08 13:11:03.539,2020-05-08 13:11:05.277
box260,2020-05-08 13:32:31.661,2020-05-08 13:32:33.461
box261,2020-05-08 14:20:48.863,2020-05-08 14:20:50.635
box262,2020-05-08 14:25:22.612,2020-05-08 14:25:24.301
box263,2020-05-08 14:30:01.836,2020-05-08 14:30:03.596
box264,2020-05-08 14:31:50.854,2020-05-08 14:31:52.618
box265,2020-05-08 14:39:05.501,2020-05-08 14:39:07.180
box266,2020-05-08 14:48:15.902,2020-05-08 14:48:17.690
box267,2020-05-08 14:50:56.187,2020-05-08 14:50:57.938
box268,2020-05-08 14:59:12.249,2020-05-08 14:59:14.016
box269,2020-05-08 14:59:35.382,2020-05-08 14:59:37.151
box270,2020-05-08 15:07:24.050,2020-05-08 15:07:25.726
box271,2020-05-08 15:10:28.543,2020-05-08 15:10:30.286
box272,2020-05-11 07:01:35.158,2020-05-11 07:01:36.948
box273,2020-05-11 07:05:48.839,2020-05-11 07:05:50.596
box274,2020-05-11 07:12:36.587,2020-05-11 07:12:38.287
box275,2020-05-11 07:13:10.893,2020-05-11 07:13:12.638
box276,2020-05-11 07:31:32.019,2020-05-11 07:31:33.788
box277,2020-05-11 07:35:04.912,2020-05-11 07:35:06.749
box278,2020-05-11 07:35:22.461,2020-05-11 07:35:24.221
box279,2020-05-11 07:38:41.621,2020-05-11 07:38:43.340
box280,2020-05-11 07:41:50.336,2020-05-11 07:41:52.104
box281,2020-05-11 07:42:57.858,2020-05-11 07:42:59.700
box282,2020-05-11 07:43:20.579,2020-05-11 07:43:22.270
box283,2020-05-11 07:43:44.306,2020-05-11 07:43:46.061
box284,2020-05-11 08:08:13.626,2020-05-11 08:08:15.319
box285,2020-05-11 08:14:50.791,2020-05-11 08:14:52.524
box286,2020-05-11 08:19:42.524,2020-05-11 08:19:44.280
box287,2020-05-11 08:20:06.246,2020-05-11 08:20:08.019
box288,2020-05-11 08:45:51.390,2020-05-11 08:45:53.173
box289,2020-05-11 09:09:55.737,2020-05-11 09:09:57.682
box290,2020-05-11 09:18:47.825,2020-05-11 09:18:49.598
box291,2020-05-11 09:21:34.258,2020-05-11 09:21:36.006
box292,2020-05-11 09:35:50.414,2020-05-11 09:35:52.181
box293,2020-05-11 09:39:55.338,2020-05-11 09:39:57.128
box294,2020-05-11 09:40:41.959,2020-05-11 09:40:43.778
box295,2020-05-11 09:50:38.708,2020-05-11 09:50:40.568
box296,2020-05-11 09:54:26.214,2020-05-11 09:54:27.979
box297,2020-05-11 09:57:16.878,2020-05-11 09:57:18.647
box298,2020-05-11 09:58:18.362,2020-05-11 09:58:20.134
box299,2020-05-11 10:12:07.334,2020-05-11 10:12:09.101
box300,2020-05-11 10:31:20.629,2020-05-11 10:31:22.341
box301,2020-05-11 11:14:21.754,2020-05-11 11:14:23.683
box302,2020-05-11 11:14:38.961,2020-05-11 11:14:40.750
box303,2020-05-11 11:15:40.732,2020-05-11 11:15:42.501
box304,2020-05-11 11:21:38.494,2020-05-11 11:21:40.245
box305,2020-05-11 11:28:13.959,2020-05-11 11:28:15.715
box306,2020-05-11 11:36:20.436,2020-05-11 11:36:22.181
box307,2020-05-11 11:44:04.614,2020-05-11 11:44:06.288
box308,2020-05-11 11:48:58.454,2020-05-11 11:49:00.216
box309,2020-05-11 11:53:37.846,2020-05-11 11:53:39.615
box310,2020-05-11 12:20:04.612,2020-05-11 12:20:06.274
box311,2020-05-11 12:34:47.969,2020-05-11 12:34:49.837
box312,2020-05-11 12:35:30.709,2020-05-11 12:35:32.503
box313,2020-05-11 12:35:47.832,2020-05-11 12:35:49.587
box314,2020-05-11 12:36:12.616,2020-05-11 12:36:14.279
box315,2020-05-11 12:36:36.618,2020-05-11 12:36:38.343
box316,2020-05-11 12:37:50.738,2020-05-11 12:37:52.509
box317,2020-05-11 12:48:41.898,2020-05-11 12:48:43.666
box318,2020-05-11 13:08:51.338,2020-05-11 13:08:53.111
box319,2020-05-11 13:34:03.993,2020-05-11 13:34:05.765
box320,2020-05-11 14:09:29.248,2020-05-11 14:09:31.022
box321,2020-05-11 14:11:19.943,2020-05-11 14:11:21.701
box322,2020-05-11 14:12:24.130,2020-05-11 14:12:25.871
box323,2020-05-11 14:12:44.568,2020-05-11 14:12:46.261
box324,2020-05-11 14:21:07.905,2020-05-11 14:21:09.705
box325,2020-05-11 14:22:24.835,2020-05-11 14:22:26.578
box326,2020-05-11 14:23:14.077,2020-05-11 14:23:15.938
box327,2020-05-11 14:24:07.228,2020-05-11 14:24:09.013
box328,2020-05-11 14:24:55.437,2020-05-11 14:24:57.180
box329,2020-05-11 14:28:23.505,2020-05-11 14:28:25.275
box330,2020-05-11 14:31:45.973,2020-05-11 14:31:47.713
box331,2020-05-11 14:37:56.097,2020-05-11 14:37:57.825
box332,2020-05-11 14:39:08.701,2020-05-11 14:39:10.449
box333,2020-05-11 14:41:09.292,2020-05-11 14:41:11.055
box334,2020-05-11 14:41:21.549,2020-05-11 14:41:23.259
box335,2020-05-11 14:41:59.170,2020-05-11 14:42:00.882
box336,2020-05-11 14:42:23.340,2020-05-11 14:42:25.265
box337,2020-05-12 07:22:25.056,2020-05-12 07:22:26.909
box338,2020-05-12 07:22:42.634,2020-05-12 07:22:44.356
box339,2020-05-12 08:05:00.640,2020-05-12 08:05:02.381
box340,2020-05-12 08:12:27.723,2020-05-12 08:12:29.573
box341,2020-05-12 08:12:52.158,2020-05-12 08:12:54.094
box342,2020-05-12 08:13:16.281,2020-05-12 08:13:18.037
box343,2020-05-12 08:13:28.418,2020-05-12 08:13:30.242
box344,2020-05-12 09:16:50.609,2020-05-12 09:16:52.354
box345,2020-05-12 09:21:10.897,2020-05-12 09:21:12.673
box346,2020-05-12 09:24:34.116,2020-05-12 09:24:35.879
box347,2020-05-12 09:34:35.192,2020-05-12 09:34:36.959
box348,2020-05-12 09:43:54.852,2020-05-12 09:43:56.609
box349,2020-05-12 10:04:26.513,2020-05-12 10:04:28.262
